32
# X Y Z
0.0 0.0 0.0
1.5 0.0 0.0
3.0 0.0 0.0
4.5 0.0 0.0
6.0 0.0 0.0
7.5 0.0 0.0
9.0 0.0 0.0
10.5 0.0 0.0
12.0 0.0 0.0
13.5 0.0 0.0
15.0 0.0 0.0
16.5 0.0 0.0
18.0 0.0 0.0
19.5 0.0 0.0
21.0 0.0 0.0
22.5 0.0 0.0
24.0 0.0 0.0
25.5 0.0 0.0
27.0 0.0 0.0
28.5 0.0 0.0
30.0 0.0 0.0
31.5 0.0 0.0
33.0 0.0 0.0
34.5 0.0 0.0
6.75 -8.0 0.0
9.75 -8.0 0.0
12.75 -8.0 0.0
15.75 -8.0 0.0
18.75 -8.0 0.0
21.75 -8.0 0.0
24.75 -8.0 0.0
27.75 -8.0 0.0
116
# A B M N
4 6 5 25
5 7 6 25
3 7 5 25
4 8 6 25
2 8 5 25
3 9 6 25
1 9 5 25
2 10 6 25
6 8 7 26
7 9 8 26
5 9 7 26
6 10 8 26
4 10 7 26
5 11 8 26
3 11 7 26
4 12 8 26
2 12 7 26
3 13 8 26
1 13 7 26
2 14 8 26
8 10 9 27
9 11 10 27
7 11 9 27
8 12 10 27
6 12 9 27
7 13 10 27
5 13 9 27
6 14 10 27
4 14 9 27
5 15 10 27
3 15 9 27
4 16 10 27
2 16 9 27
3 17 10 27
1 17 9 27
2 18 10 27
10 12 11 28
11 13 12 28
9 13 11 28
10 14 12 28
8 14 11 28
9 15 12 28
7 15 11 28
8 16 12 28
6 16 11 28
7 17 12 28
5 17 11 28
6 18 12 28
4 18 11 28
5 19 12 28
3 19 11 28
4 20 12 28
2 20 11 28
3 21 12 28
1 21 11 28
2 22 12 28
12 14 13 29
13 15 14 29
11 15 13 29
12 16 14 29
10 16 13 29
11 17 14 29
9 17 13 29
10 18 14 29
8 18 13 29
9 19 14 29
7 19 13 29
8 20 14 29
6 20 13 29
7 21 14 29
5 21 13 29
6 22 14 29
4 22 13 29
5 23 14 29
3 23 13 29
4 24 14 29
2 24 13 29
14 16 15 30
15 17 16 30
13 17 15 30
14 18 16 30
12 18 15 30
13 19 16 30
11 19 15 30
12 20 16 30
10 20 15 30
11 21 16 30
9 21 15 30
10 22 16 30
8 22 15 30
9 23 16 30
7 23 15 30
8 24 16 30
6 24 15 30
16 18 17 31
17 19 18 31
15 19 17 31
16 20 18 31
14 20 17 31
15 21 18 31
13 21 17 31
14 22 18 31
12 22 17 31
13 23 18 31
11 23 17 31
12 24 18 31
10 24 17 31
18 20 19 32
19 21 20 32
17 21 19 32
18 22 20 32
16 22 19 32
17 23 20 32
15 23 19 32
16 24 20 32
14 24 19 32
