32
# X Y Z
0.0 0.0 0.0
1.5 0.0 0.0
3.0 0.0 0.0
4.5 0.0 0.0
6.0 0.0 0.0
7.5 0.0 0.0
9.0 0.0 0.0
10.5 0.0 0.0
12.0 0.0 0.0
13.5 0.0 0.0
15.0 0.0 0.0
16.5 0.0 0.0
18.0 0.0 0.0
19.5 0.0 0.0
21.0 0.0 0.0
22.5 0.0 0.0
24.0 0.0 0.0
25.5 0.0 0.0
27.0 0.0 0.0
28.5 0.0 0.0
30.0 0.0 0.0
31.5 0.0 0.0
33.0 0.0 0.0
34.5 0.0 0.0
6.75 -8.0 0.0
9.75 -8.0 0.0
12.75 -8.0 0.0
15.75 -8.0 0.0
18.75 -8.0 0.0
21.75 -8.0 0.0
24.75 -8.0 0.0
27.75 -8.0 0.0
448
# A B M N
6 25 7 26
5 25 8 26
4 25 9 26
3 25 10 26
2 25 11 26
1 25 12 26
6 25 9 27
5 25 10 27
4 25 11 27
3 25 12 27
2 25 13 27
1 25 14 27
6 25 11 28
5 25 12 28
4 25 13 28
3 25 14 28
2 25 15 28
1 25 16 28
6 25 13 29
5 25 14 29
4 25 15 29
3 25 16 29
2 25 17 29
1 25 18 29
6 25 15 30
5 25 16 30
4 25 17 30
3 25 18 30
2 25 19 30
1 25 20 30
6 25 17 31
5 25 18 31
4 25 19 31
3 25 20 31
2 25 21 31
1 25 22 31
6 25 19 32
5 25 20 32
4 25 21 32
3 25 22 32
2 25 23 32
1 25 24 32
8 26 9 27
7 26 10 27
6 26 11 27
5 26 12 27
4 26 13 27
3 26 14 27
8 26 11 28
7 26 12 28
6 26 13 28
5 26 14 28
4 26 15 28
3 26 16 28
8 26 13 29
7 26 14 29
6 26 15 29
5 26 16 29
4 26 17 29
3 26 18 29
8 26 15 30
7 26 16 30
6 26 17 30
5 26 18 30
4 26 19 30
3 26 20 30
8 26 17 31
7 26 18 31
6 26 19 31
5 26 20 31
4 26 21 31
3 26 22 31
8 26 19 32
7 26 20 32
6 26 21 32
5 26 22 32
4 26 23 32
3 26 24 32
10 27 11 28
9 27 12 28
8 27 13 28
7 27 14 28
6 27 15 28
5 27 16 28
10 27 13 29
9 27 14 29
8 27 15 29
7 27 16 29
6 27 17 29
5 27 18 29
10 27 15 30
9 27 16 30
8 27 17 30
7 27 18 30
6 27 19 30
5 27 20 30
10 27 17 31
9 27 18 31
8 27 19 31
7 27 20 31
6 27 21 31
5 27 22 31
10 27 19 32
9 27 20 32
8 27 21 32
7 27 22 32
6 27 23 32
5 27 24 32
12 28 13 29
11 28 14 29
10 28 15 29
9 28 16 29
8 28 17 29
7 28 18 29
12 28 15 30
11 28 16 30
10 28 17 30
